co_fat_cidadao_pec,no_cidadao,dt_registro_nascimento,ds_sexo,nu_cns,nu_cpf_cidadao,nu_telefone_celular,st_faleceu,dt_ultima_atualizacao_cidadao,st_diabetes_diagnosticada,st_hipertensao_diagnosticada,nu_ine,no_equipe,data_ultimo_atend_individual,equipe_ine_atendimento,equipe_nome_atendimento,nu_atend_ubs_ultimos_12_meses,data_transmissao
700013,FULANO DA PEIXOTO,1943-10-22,MASCULINO,875626778179832,64046945061,(19) 91646-7650,0,2025-08-17 10:20:00,1,1,0001234568,ESF 2,2026-02-08,0001234568,ESF 2,3,2026-08-01
700014,CICRANA DANTAS DA QUINTELA,1949-04-13,FEMININO,866635807850862,69756054671,(16) 98559-5487,0,2024-09-11 09:40:00,0,1,0001234569,ESF 3,2026-02-28,0001234569,ESF 3,7,2026-08-01
700015,SICRANA DE ALBUQUERQUE,1957-11-23,FEMININO,836495738263806,32233684002,(19) 91822-3140,0,2026-02-28 11:10:00,0,1,0001234572,ESF 5,2026-06-15,0001234572,ESF 5,5,2026-08-01
700016,SICRANA LACERDA CORDEIRO,1987-02-28,FEMININO,729898879844311,15973292232,(19) 95281-3941,0,2025-03-31 09:10:00,1,1,0001234572,ESF 5,2026-04-25,0001234572,ESF 5,3,2026-08-01
700017,FULANA MESQUITA,1979-10-24,FEMININO,780314800048116,41270923359,(16) 94159-1139,0,2025-11-07 08:30:00,0,1,0001234572,ESF 5,2026-05-19,0001234572,ESF 5,1,2026-08-01
700018,BELTRANA QUEIROZ,1977-01-23,FEMININO,840946261654253,19370123793,(16) 94536-7170,0,2026-01-02 15:45:00,0,1,0001234570,ESF 4,2026-07-14,0001234570,ESF 4,2,2026-08-01
700019,CICRANA DE QUINTELA,1948-12-09,FEMININO,812385429036153,44601918309,(18) 97919-8793,0,2025-03-27 11:00:00,1,1,0001234570,ESF 4,2025-08-30,0001234570,ESF 4,1,2026-08-01
700020,SICRANA CORDEIRO ORNELAS,1978-02-19,FEMININO,746173337529444,99180766073,(15) 99325-4621,0,2025-06-22 14:40:00,0,1,0001234568,ESF 2,2026-05-27,0001234568,ESF 2,2,2026-08-01
700021,FULANA XAVIER ALBUQUERQUE,1938-05-24,FEMININO,713405050166062,47480167602,(12) 97067-7463,0,2025-08-04 10:15:00,0,1,0001234567,ESF  1 ,2025-12-15,0001234567,ESF  1 ,1,2026-08-01
700022,SICRANA DANTAS CARVALHO,1955-01-04,FEMININO,770415910167070,44034920450,(11) 91579-5169,0,2024-12-28 12:45:00,0,1,0001234569,ESF 3,2025-02-06,0001234569,ESF 3,0,2026-08-01
700023,BELTRANA LACERDA MESQUITA,1975-10-02,FEMININO,761187729452462,57929348351,(19) 94433-8843,0,2025-12-02 13:10:00,1,1,0001234571,ESF 5,2025-03-06,0001234571,ESF 5,0,2026-08-01
700024,FULANA DE SAMPAIO,1954-12-03,FEMININO,742940971006258,26920971659,(19) 95800-8631,0,2026-07-10 10:15:00,1,1,0001234572,ESF 5,2026-07-05,0001234572,ESF 5,4,2026-08-01
700025,BELTRANO DE MESQUITA,1940-06-12,MASCULINO,708084474339778,81889148602,(15) 97264-7327,0,2024-11-05 16:00:00,0,1,0001234567,ESF  1 ,2023-07-22,0001234567,ESF  1 ,0,2026-08-01
700026,SICRANO JARDIM NOGUEIRA,1939-07-01,MASCULINO,781805744387345,95723775406,(15) 98606-7544,0,2025-07-24 14:50:00,0,1,0001234571,ESF 5,2024-10-25,0001234571,ESF 5,0,2026-08-01
700027,FULANA NOGUEIRA,1938-10-13,FEMININO,891694016124516,73558481942,(17) 98776-6341,0,2025-07-12 10:40:00,0,1,0001234571,ESF 5,2026-03-16,0001234571,ESF 5,8,2026-08-01
700028,CICRANA DOS PEIXOTO,1966-06-02,FEMININO,720547278729540,95424432001,(18) 95798-8521,0,2024-09-19 09:10:00,0,1,0001234573,ESF 7,2026-07-31,0001234573,ESF 7,7,2026-08-01
700029,FULANA ESCOBAR VALADARES,1938-02-17,FEMININO,846656161046580,78600104883,(18) 95835-1607,0,2026-05-22 11:30:00,0,1,0001234573,ESF 7,2022-08-12,0001234573,ESF 7,0,2026-08-01
700030,FULANO CORDEIRO DA NOVAES,1949-05-05,MASCULINO,862900422540086,90080614737,(12) 98261-8802,0,2025-03-18 12:20:00,0,1,0001234568,ESF 2,2026-05-28,0001234568,ESF 2,1,2026-08-01
700031,BELTRANO TEIXEIRA,1968-05-11,MASCULINO,762522081176479,12261403861,(12) 94786-3507,0,2024-10-27 11:15:00,0,1,0001234568,ESF 2,2025-03-28,0001234568,ESF 2,0,2026-08-01
700032,FULANO FURTADO DOS JARDIM,1937-04-25,MASCULINO,731496903524026,37182514509,(11) 97675-9622,0,2025-07-29 11:45:00,0,1,0001234569,ESF 3,2026-07-27,0001234569,ESF 3,2,2026-08-01
700033,FULANA ESTEVES MARINHO,1985-02-26,FEMININO,862175865874083,32301722059,(15) 98689-2830,0,2026-05-19 11:10:00,0,1,0001234573,ESF 7,2026-06-02,0001234573,ESF 7,6,2026-08-01
700034,CICRANO DE BANDEIRA,1984-12-07,MASCULINO,871334347394901,39941170623,(16) 96231-4862,0,2026-07-28 16:15:00,1,1,0001234573,ESF 7,2025-12-14,0001234573,ESF 7,1,2026-08-01
700035,SICRANO TAVARES LACERDA,1964-10-20,MASCULINO,728968401413317,85930499234,(16) 95524-6062,0,2025-11-24 13:45:00,0,1,0001234568,ESF 2,2026-06-28,0001234568,ESF 2,4,2026-08-01
700036,CICRANO VALADARES,1976-06-06,MASCULINO,703507597510165,65805822785,(16) 97908-1305,0,2025-04-27 14:30:00,0,1,0001234573,ESF 7,2026-06-27,0001234573,ESF 7,4,2026-08-01
700037,FULANA DOS LOUREIRO,1954-01-31,FEMININO,735426613003398,66847454165,(17) 93938-9509,0,2024-12-30 13:50:00,0,1,0001234567,ESF  1 ,2023-09-13,0001234567,ESF  1 ,0,2026-08-01
700038,SICRANA UCHOA DE FONTOURA,1968-12-23,FEMININO,769611570512618,63877579753,(15) 91555-4492,0,2026-04-26 13:30:00,0,1,0001234570,ESF 4,2026-07-05,0001234570,ESF 4,2,2026-08-01
700039,SICRANA QUINTELA DE PEIXOTO,1960-06-23,FEMININO,758010131840184,56395375742,(15) 95731-5491,0,2024-12-06 14:00:00,0,1,0001234567,ESF  1 ,2026-04-05,0001234567,ESF  1 ,4,2026-08-01
700040,FULANO DOS BITTENCOURT,1953-11-15,MASCULINO,775769746470703,84434189230,(14) 94422-3683,0,2025-08-03 09:30:00,0,1,0001234571,ESF 5,2026-06-13,0001234571,ESF 5,3,2026-08-01
700041,BELTRANA QUEIROZ XAVIER,1964-03-19,FEMININO,704181284548525,92529165123,(13) 98113-2470,0,2025-03-29 12:00:00,1,1,0001234569,ESF 3,2026-04-16,0001234569,ESF 3,2,2026-08-01
700042,FULANA BANDEIRA,1973-09-15,FEMININO,782632435603841,41031141694,(11) 92620-2609,0,2024-09-21 16:00:00,1,1,0001234572,ESF 5,2026-07-22,0001234572,ESF 5,3,2026-08-01
700043,FULANO HUNGRIA TAVARES,1949-08-02,MASCULINO,823786618654678,80727395816,(17) 97290-8266,0,2025-08-11 14:20:00,0,1,0001234570,ESF 4,2024-08-10,0001234570,ESF 4,0,2026-08-01
700044,TESTE,1938-09-09,MASCULINO,831370386998738,53284769561,(19) 97526-2478,0,2025-06-13 08:45:00,0,1,0001234572,ESF 5,2026-05-29,0001234572,ESF 5,2,2026-08-01
700045,SICRANA ESTEVES DA GALVAO,1957-01-05,FEMININO,872551004715990,03239395704,(13) 99844-4823,0,2025-09-03 13:10:00,0,1,0001234573,ESF 7,2023-08-23,0001234573,ESF 7,0,2026-08-01
700046,CICRANO DOS VASCONCELOS,1947-12-14,MASCULINO,737862052728926,40646700783,(16) 96780-4877,0,2025-10-12 08:00:00,1,1,0001234569,ESF 3,2025-06-29,0001234569,ESF 3,0,2026-08-01
700047,SICRANA VALADARES UCHOA,1955-08-03,FEMININO,837328792351770,69264697846,(15) 97746-8740,0,2026-01-26 12:50:00,1,1,0001234567,ESF  1 ,2026-03-17,0001234567,ESF  1 ,3,2026-08-01
700048,SICRANA DOS MESQUITA,1969-04-16,FEMININO,784940710829718,29862536790,(17) 93016-8860,0,2025-05-22 12:45:00,0,1,0001234567,ESF  1 ,2026-06-30,0001234567,ESF  1 ,3,2026-08-01
700049,FULANO DOS VASCONCELOS,1972-02-05,MASCULINO,702359640965212,16530410482,(18) 99466-2228,0,2025-09-13 13:00:00,0,1,0001234572,ESF 5,2025-09-19,0001234572,ESF 5,1,2026-08-01
700050,NÃO INFORMADO,1977-03-09,MASCULINO,871613276701398,08661902526,(17) 94035-9617,0,2026-05-11 11:40:00,0,1,0001234569,ESF 3,2026-02-18,0001234569,ESF 3,3,2026-08-01
700051,SICRANO GALVAO GALVAO,1956-08-25,MASCULINO,723004586434222,04864606308,(18) 94132-7759,0,2025-05-14 14:10:00,0,1,0001234567,ESF  1 ,2026-03-18,0001234567,ESF  1 ,2,2026-08-01
700052,BELTRANA NOGUEIRA,1979-10-24,FEMININO,844761821497042,34087315607,(17) 96708-6239,0,2025-12-29 13:40:00,0,1,0001234570,ESF 4,2025-11-22,0001234570,ESF 4,3,2026-08-01
700053,BELTRANO JARDIM DOS QUINTELA,1948-03-16,MASCULINO,838963776360520,34456496691,(16) 98884-1432,0,2025-02-07 11:20:00,0,1,0001234570,ESF 4,2026-04-18,0001234570,ESF 4,1,2026-08-01
700054,CICRANO SALGADO,1988-04-10,MASCULINO,801728544198778,26819962950,(18) 94434-2758,0,2025-07-21 16:40:00,1,1,0001234571,ESF 5,2026-02-28,0001234571,ESF 5,3,2026-08-01
700055,BELTRANO LOUREIRO ESCOBAR,1956-07-02,MASCULINO,856538163042351,54502859819,(14) 95440-1384,0,2026-06-29 16:30:00,0,1,0001234569,ESF 3,2023-06-28,0001234569,ESF 3,0,2026-08-01
700056,CICRANA LACERDA,1985-08-17,FEMININO,768054623999158,07743508499,(17) 97819-4644,0,2025-07-12 14:10:00,0,1,0001234568,ESF 2,2026-05-28,0001234568,ESF 2,3,2026-08-01
700057,SICRANO MARINHO,1947-04-05,MASCULINO,806501253741520,75977035463,(17) 94360-3279,0,2025-09-10 08:10:00,0,1,0001234569,ESF 3,2025-09-15,0001234569,ESF 3,1,2026-08-01
700058,FULANA DE GALVAO,1936-09-14,FEMININO,823893090493340,67007607714,(14) 95428-5919,0,2025-01-07 13:30:00,0,1,0001234570,ESF 4,2026-03-06,0001234570,ESF 4,4,2026-08-01
700059,CICRANA ESCOBAR BITTENCOURT,1954-04-23,FEMININO,788114084200140,32333318270,(17) 96629-5528,0,2024-12-15 14:50:00,0,1,0001234567,ESF  1 ,2026-06-18,0001234567,ESF  1 ,8,2026-08-01
700060,SICRANA FONTOURA JARDIM,1974-01-21,FEMININO,851361633542561,49145399183,(16) 94686-5433,0,2025-11-29 09:50:00,0,1,0001234571,ESF 5,2026-07-06,0001234571,ESF 5,3,2026-08-01
700061,CICRANA NOVAES,1976-07-11,FEMININO,803918401596179,47152086525,(16) 93563-7220,0,2026-05-23 12:20:00,1,1,0001234572,ESF 5,2026-06-10,0001234572,ESF 5,4,2026-08-01
700062,BELTRANO LOUREIRO DOS ALBUQUERQUE,1964-06-12,MASCULINO,810376391212113,05054035363,(16) 98646-7561,0,2025-11-28 10:40:00,0,1,0001234567,ESF  1 ,2026-06-05,0001234567,ESF  1 ,4,2026-08-01
700063,BELTRANA PEIXOTO,1970-07-27,FEMININO,715257429377763,92699628574,(11) 99542-8037,0,2024-11-29 11:10:00,0,1,0001234567,ESF  1 ,2026-03-15,0001234567,ESF  1 ,2,2026-08-01
700064,CICRANA DA ORNELAS,1958-09-18,FEMININO,720934079458646,90420242326,(17) 96689-4642,0,2025-02-05 12:15:00,1,1,0001234567,ESF  1 ,2026-03-30,0001234567,ESF  1 ,1,2026-08-01
700065,CICRANA ESTEVES DA BANDEIRA,1959-06-20,FEMININO,885057702238260,18199526905,(16) 91482-1328,0,2024-11-02 11:45:00,1,1,0001234572,ESF 5,2024-09-06,0001234572,ESF 5,0,2026-08-01
700066,NAO INFORMADO,1980-11-13,MASCULINO,883405134700774,21419624203,(15) 96278-1767,0,2025-12-19 13:45:00,1,1,0001234572,ESF 5,2022-12-07,0001234572,ESF 5,0,2026-08-01
700067,SICRANO DA VASCONCELOS,1983-09-22,MASCULINO,745746758271368,21994952131,(18) 99687-7314,0,2025-09-29 12:30:00,0,1,0001234567,ESF  1 ,2026-05-30,0001234567,ESF  1 ,3,2026-08-01
700068,SICRANA MESQUITA XAVIER,1970-11-03,FEMININO,885737947842134,65175668308,(17) 96625-7034,0,2025-11-05 08:30:00,0,1,0001234572,ESF 5,2026-03-25,0001234572,ESF 5,5,2026-08-01
700069,BELTRANO FURTADO TEIXEIRA,1960-04-06,MASCULINO,751091284836164,72323530578,(11) 97855-2710,0,2025-04-27 11:45:00,0,1,0001234570,ESF 4,2026-02-11,0001234570,ESF 4,2,2026-08-01
700070,BELTRANA NOVAES DA CARVALHO,1957-05-29,FEMININO,801654992569318,01067330365,(11) 96099-4325,0,2025-07-13 12:10:00,1,1,0001234568,ESF 2,2024-09-07,0001234568,ESF 2,0,2026-08-01
700071,CICRANO LOUREIRO ESTEVES,1952-05-01,MASCULINO,895167048483406,33191109774,(13) 92652-1305,0,2026-03-07 08:00:00,0,1,0001234568,ESF 2,2023-08-14,0001234568,ESF 2,0,2026-08-01
700072,TESTE TESTE,1948-07-08,FEMININO,763570173491246,60610577761,(18) 91196-4557,0,2024-09-19 08:50:00,1,1,0001234572,ESF 5,2026-04-28,0001234572,ESF 5,4,2026-08-01
700073,BELTRANO DE MARINHO,1939-05-18,MASCULINO,730461440108752,97916134943,(17) 91860-9975,0,2025-07-29 11:50:00,1,1,0001234573,ESF 7,2026-04-24,0001234573,ESF 7,4,2026-08-01
700074,SICRANO SALGADO,1982-08-13,MASCULINO,760731646861484,81441129384,(11) 97531-9544,0,2026-06-23 13:20:00,0,1,0001234572,ESF 5,2026-04-06,0001234572,ESF 5,3,2026-08-01
700075,SICRANA FONTOURA PEIXOTO,1984-02-26,FEMININO,796260809737073,63126168354,(17) 93801-2335,0,2025-09-16 10:15:00,1,1,0001234567,ESF  1 ,2026-07-27,0001234567,ESF  1 ,2,2026-08-01
700076,XXXXX,1947-02-04,MASCULINO,790845668579606,33383052304,(19) 91255-3221,0,2026-06-04 10:50:00,0,1,0001234572,ESF 5,2026-04-02,0001234572,ESF 5,2,2026-08-01
700077,BELTRANA NOVAES NOGUEIRA,1961-03-24,FEMININO,731769772810011,08986591830,(17) 91543-7126,0,2024-10-24 08:00:00,0,1,0001234567,ESF  1 ,2026-05-19,0001234567,ESF  1 ,1,2026-08-01
700078,CICRANA ALBUQUERQUE ZAMBONI,1972-08-15,FEMININO,742668779052852,47871400780,(17) 94079-8259,0,2026-03-29 15:15:00,0,1,0001234571,ESF 5,2026-06-20,0001234571,ESF 5,2,2026-08-01
700079,CICRANO DA CORDEIRO,1954-05-21,MASCULINO,769650978920020,24942172889,(17) 98732-9989,0,2025-04-12 13:20:00,0,1,0001234572,ESF 5,2026-03-20,0001234572,ESF 5,3,2026-08-01
700080,BELTRANA DOS DANTAS,1968-01-17,FEMININO,732463759609963,83087545113,(11) 98221-7705,0,2025-05-11 14:40:00,0,1,0001234573,ESF 7,2026-05-06,0001234573,ESF 7,3,2026-08-01
700081,FULANA HUNGRIA,1949-07-22,FEMININO,737578711078814,06726719800,(15) 91425-1042,0,2026-03-12 13:15:00,0,1,0001234573,ESF 7,2026-06-09,0001234573,ESF 7,3,2026-08-01
700082,CICRANA DA MESQUITA,1986-10-19,FEMININO,878938185519843,21640216147,(13) 93313-1471,0,2024-09-28 15:10:00,0,1,0001234570,ESF 4,2025-03-15,0001234570,ESF 4,0,2026-08-01
700083,BELTRANO FURTADO DA ALBUQUERQUE,1942-10-12,MASCULINO,839944597391686,21619647711,(15) 99822-1169,0,2025-03-02 08:45:00,1,1,0001234570,ESF 4,2023-03-17,0001234570,ESF 4,0,2026-08-01
700084,FULANO ORNELAS,1970-07-13,MASCULINO,774237266038421,62715135140,(17) 94408-1588,0,2025-01-03 11:20:00,0,1,0001234573,ESF 7,2026-05-24,0001234573,ESF 7,2,2026-08-01
700085,CICRANA DOS UCHOA,1971-08-06,FEMININO,803259841104583,63679913797,(13) 93337-8016,0,2025-03-18 14:30:00,0,1,0001234573,ESF 7,2026-03-22,0001234573,ESF 7,2,2026-08-01
700086,FULANO SALGADO,1938-03-03,MASCULINO,892178578888230,59919444589,(17) 99257-8591,0,2026-02-05 14:15:00,0,1,0001234569,ESF 3,2024-09-17,0001234569,ESF 3,0,2026-08-01
700087,FULANO QUEIROZ,1948-06-27,MASCULINO,865504514962589,03795661847,(16) 93868-5197,0,2025-03-04 13:15:00,1,1,0001234567,ESF  1 ,2023-11-22,0001234567,ESF  1 ,0,2026-08-01
700088,,1982-05-04,MASCULINO,712414373310281,40153766922,(13) 93034-1569,0,2025-08-06 12:20:00,0,1,0001234569,ESF 3,2026-07-09,0001234569,ESF 3,3,2026-08-01
700089,BELTRANA VALADARES DE UCHOA,1982-06-20,FEMININO,800863156678307,46519909671,(16) 95676-7888,0,2024-12-19 09:15:00,0,1,0001234569,ESF 3,2026-02-24,0001234569,ESF 3,1,2026-08-01
700090,FULANA DE BITTENCOURT,1953-10-25,FEMININO,834155000355694,75230280396,(18) 94550-7824,0,2025-08-20 15:15:00,0,1,0001234570,ESF 4,2023-09-23,0001234570,ESF 4,0,2026-08-01
700091,FULANO VALADARES,1978-11-13,MASCULINO,746502708553376,99213009705,(13) 99244-4753,0,2025-03-10 14:00:00,0,1,0001234571,ESF 5,2026-03-26,0001234571,ESF 5,1,2026-08-01
700092,FULANA PEIXOTO NOVAES,1957-11-23,FEMININO,829660118315125,85524034201,(17) 98057-6676,0,2025-01-09 16:45:00,0,1,0001234571,ESF 5,2026-06-11,0001234571,ESF 5,2,2026-08-01
700093,FULANA BITTENCOURT ALBUQUERQUE,1980-02-23,FEMININO,716025223639190,94215181101,(19) 94366-2482,0,2024-11-10 15:50:00,1,1,0001234572,ESF 5,2026-03-31,0001234572,ESF 5,4,2026-08-01
700094,SICRANO REZENDE,1951-11-19,MASCULINO,715335183977483,48484269362,(13) 93150-1172,0,2025-06-08 15:15:00,0,1,0001234567,ESF  1 ,2026-05-28,0001234567,ESF  1 ,6,2026-08-01
700095,FULANA DOS QUEIROZ,1987-09-24,FEMININO,764533937810401,70779620161,(11) 96871-1217,0,2025-06-11 10:40:00,0,1,0001234572,ESF 5,2026-05-30,0001234572,ESF 5,3,2026-08-01
700096,CICRANO VASCONCELOS ESTEVES,1967-12-24,MASCULINO,846659670724869,77106414744,(18) 91041-5600,0,2025-03-01 16:20:00,0,1,0001234568,ESF 2,2026-05-17,0001234568,ESF 2,1,2026-08-01
700097,FULANA DA VASCONCELOS,1939-04-17,FEMININO,819429917498728,72783097274,(13) 93183-6238,0,2026-06-01 16:20:00,1,1,0001234573,ESF 7,2024-02-23,0001234573,ESF 7,0,2026-08-01
700098,FULANA VALADARES,1964-09-09,FEMININO,856346772872975,43204589154,(13) 92115-3624,0,2026-07-25 08:50:00,1,1,0001234571,ESF 5,2026-02-28,0001234571,ESF 5,4,2026-08-01
700099,SICRANA DE HUNGRIA,1965-07-19,FEMININO,826772126184422,29433682450,(17) 99194-2229,0,2025-11-14 08:15:00,1,1,0001234569,ESF 3,2026-05-16,0001234569,ESF 3,4,2026-08-01
700100,FULANA REZENDE REZENDE,1938-04-01,FEMININO,879278325140812,09574638121,(18) 97284-3147,0,2026-06-05 10:40:00,0,1,0001234572,ESF 5,2026-02-26,0001234572,ESF 5,5,2026-08-01
700101,SICRANA DELGADO DA CARVALHO,1952-05-16,FEMININO,731308983197332,14083164639,(18) 97120-2999,0,2025-08-10 16:40:00,0,1,0001234570,ESF 4,2026-05-01,0001234570,ESF 4,5,2026-08-01
700102,FULANO DELGADO,1952-07-23,MASCULINO,766170607498578,58483767431,(15) 99180-1364,0,2025-06-30 16:15:00,0,1,0001234570,ESF 4,2026-07-21,0001234570,ESF 4,4,2026-08-01
700103,BELTRANA DOS TAVARES,1961-08-06,FEMININO,783304757333449,58719463139,(15) 94885-7518,0,2025-12-26 15:30:00,0,1,0001234567,ESF  1 ,2026-06-27,0001234567,ESF  1 ,4,2026-08-01
700104,FULANO HUNGRIA,1966-09-29,MASCULINO,818440627632510,96767886352,(18) 93620-9312,0,2026-04-03 09:45:00,0,1,0001234569,ESF 3,2026-06-09,0001234569,ESF 3,3,2026-08-01
700105,SICRANA DOS FONTOURA,1959-01-12,FEMININO,764706778305499,54592973039,(12) 92650-6590,0,2025-12-24 08:00:00,1,1,0001234572,ESF 5,2021-08-02,0001234572,ESF 5,0,2026-08-01
700106,SICRANA DE BANDEIRA,1964-05-12,FEMININO,860098147165215,86152437432,(14) 95142-9812,0,2025-09-30 12:45:00,1,1,0001234569,ESF 3,2026-03-18,0001234569,ESF 3,2,2026-08-01
700107,FULANA TEIXEIRA DOS JARDIM,1976-09-10,FEMININO,785371532881984,44451870110,(15) 93414-3187,0,2025-07-07 16:50:00,0,1,0001234573,ESF 7,2026-03-11,0001234573,ESF 7,3,2026-08-01
700108,CICRANO DOS QUEIROZ,1969-08-25,MASCULINO,811974160751555,52976850284,(17) 95956-9707,0,2024-10-20 15:50:00,1,1,0001234569,ESF 3,2026-07-01,0001234569,ESF 3,7,2026-08-01
700109,BELTRANA DOS MESQUITA,1985-02-28,FEMININO,729982919510996,98072091451,(19) 96470-9689,0,2025-04-16 14:20:00,1,1,0001234573,ESF 7,2026-03-03,0001234573,ESF 7,2,2026-08-01
700110,CICRANA UCHOA,1941-10-20,FEMININO,845815738578233,18896231991,(15) 92423-9941,0,2025-10-20 09:40:00,0,1,0001234570,ESF 4,2022-01-12,0001234570,ESF 4,0,2026-08-01
700111,SICRANO DE NOVAES,1962-07-27,MASCULINO,702360300481835,83326562811,(18) 97677-5981,0,2024-12-19 08:45:00,0,1,0001234572,ESF 5,2026-03-27,0001234572,ESF 5,2,2026-08-01
700112,CICRANO TAVARES FURTADO,1939-02-02,MASCULINO,826046110967943,91121535161,(18) 94506-5933,0,2024-12-30 12:45:00,0,1,0001234571,ESF 5,2026-06-20,0001234571,ESF 5,6,2026-08-01
700113,BELTRANO ORNELAS DOS NOGUEIRA,1960-02-05,MASCULINO,839262635957167,81040807683,(18) 99385-4358,0,2026-02-24 13:00:00,0,1,0001234571,ESF 5,2025-06-12,0001234571,ESF 5,0,2026-08-01
700114,CICRANA DANTAS DA TAVARES,1981-08-25,FEMININO,795059828013453,40938941918,(19) 93762-3759,0,2025-05-10 16:10:00,1,1,0001234573,ESF 7,2026-02-16,0001234573,ESF 7,8,2026-08-01
700115,CICRANO CORDEIRO TAVARES,1970-01-30,MASCULINO,829695636583821,46947613079,(16) 98190-1974,0,2025-05-19 15:00:00,1,1,0001234569,ESF 3,2026-03-18,0001234569,ESF 3,5,2026-08-01
700116,CICRANO DE PEIXOTO,1949-07-08,MASCULINO,842880068340654,41488766020,(15) 97029-5130,0,2026-01-06 08:15:00,0,1,0001234567,ESF  1 ,2026-07-19,0001234567,ESF  1 ,2,2026-08-01
700117,FULANO DELGADO DE CARVALHO,1945-06-16,MASCULINO,824119776311774,36601394913,(19) 94747-5419,0,2024-09-27 14:50:00,0,1,0001234567,ESF  1 ,2026-05-06,0001234567,ESF  1 ,2,2026-08-01
700118,SICRANA GALVAO LOUREIRO,1940-02-01,FEMININO,714640251265729,23941971701,(15) 91717-5395,0,2025-08-26 13:45:00,1,1,0001234573,ESF 7,2020-03-13,0001234573,ESF 7,0,2026-08-01
700119,CICRANA LACERDA,1943-11-11,FEMININO,740716254901196,91251838180,(15) 97751-3890,0,2026-06-11 14:30:00,0,1,0001234570,ESF 4,2024-12-18,0001234570,ESF 4,0,2026-08-01
700120,FULANO QUINTELA,1968-04-26,MASCULINO,802892933037500,17803267506,(19) 97883-2841,0,2026-07-04 14:10:00,0,1,0001234572,ESF 5,2025-03-04,0001234572,ESF 5,0,2026-08-01
700121,CICRANO ALBUQUERQUE DOS ESTEVES,1944-11-12,MASCULINO,864991703757143,22727639016,(17) 92337-5535,0,2024-12-22 12:15:00,1,1,0001234572,ESF 5,2025-01-30,0001234572,ESF 5,0,2026-08-01
700122,SICRANA BITTENCOURT BITTENCOURT,1962-02-02,FEMININO,712465886450121,26878303134,(19) 99741-9135,0,2025-03-08 15:45:00,0,1,0001234571,ESF 5,2023-10-13,0001234571,ESF 5,0,2026-08-01
